model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
neural_network_mlp,4293,340,2010,2019,2020,0.7411764705882353,0.711340206185567,0.8117647058823529,0.7582417582417582,0.816712802768166,0.7411764705882353,0.0
logistic_regression,4633,440,2010,2020,2021,0.7613636363636364,0.7153558052434457,0.8681818181818182,0.784394250513347,0.8264462809917356,0.7363636363636363,0.0
random_forest,4633,440,2010,2020,2021,0.7840909090909091,0.7431906614785992,0.8681818181818182,0.80083857442348,0.84448347107438,0.7772727272727273,0.0
extra_trees,4633,440,2010,2020,2021,0.7909090909090909,0.756,0.8590909090909091,0.8042553191489362,0.845309917355372,0.7727272727272727,0.0
hist_gradient_boosting,4633,440,2010,2020,2021,0.7727272727272727,0.7479338842975206,0.8227272727272728,0.7835497835497836,0.8378925619834711,0.7545454545454547,0.0
neural_network_mlp,4633,440,2010,2020,2021,0.7727272727272727,0.7479338842975206,0.8227272727272728,0.7835497835497836,0.8415909090909092,0.7681818181818181,0.0
logistic_regression,5073,440,2010,2021,2022,0.775,0.7737556561085973,0.7772727272727272,0.7755102040816326,0.8220247933884298,0.7681818181818181,0.0
random_forest,5073,440,2010,2021,2022,0.775,0.7574468085106383,0.8090909090909091,0.7824175824175824,0.8383884297520661,0.759090909090909,0.0
extra_trees,5073,440,2010,2021,2022,0.7704545454545455,0.7489539748953975,0.8136363636363636,0.7799564270152506,0.8356404958677686,0.7636363636363637,0.0
hist_gradient_boosting,5073,440,2010,2021,2022,0.7863636363636364,0.7763157894736842,0.8045454545454546,0.7901785714285714,0.8355785123966942,0.7818181818181817,0.045454545454545456
neural_network_mlp,5073,440,2010,2021,2022,0.7681818181818182,0.7341269841269841,0.8409090909090909,0.7838983050847458,0.8412603305785123,0.7818181818181817,0.0
logistic_regression,5513,440,2010,2022,2023,0.775,0.7688888888888888,0.7863636363636364,0.7775280898876404,0.8537190082644628,0.8090909090909091,0.045454545454545456
random_forest,5513,440,2010,2022,2023,0.7840909090909091,0.7637130801687764,0.8227272727272728,0.7921225382932167,0.8543595041322314,0.8045454545454547,0.09090909090909091
extra_trees,5513,440,2010,2022,2023,0.7931818181818182,0.774468085106383,0.8272727272727273,0.8,0.8524380165289256,0.7954545454545454,0.045454545454545456
hist_gradient_boosting,5513,440,2010,2022,2023,0.7886363636363637,0.7634854771784232,0.8363636363636363,0.7982646420824295,0.8560743801652891,0.7818181818181817,0.045454545454545456
neural_network_mlp,5513,440,2010,2022,2023,0.7818181818181819,0.748,0.85,0.7957446808510639,0.8591735537190083,0.8045454545454547,0.09090909090909091
logistic_regression,5953,479,2010,2023,2024,0.7703549060542797,0.7210884353741497,0.8833333333333333,0.7940074906367042,0.8475592747559274,0.8166666666666668,0.041666666666666664
random_forest,5953,479,2010,2023,2024,0.8413361169102297,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.913476290097629,0.8291666666666667,0.16666666666666666
extra_trees,5953,479,2010,2023,2024,0.824634655532359,0.8070866141732284,0.8541666666666666,0.8299595141700404,0.897123430962343,0.8208333333333333,0.08333333333333333
hist_gradient_boosting,5953,479,2010,2023,2024,0.8225469728601252,0.8112449799196787,0.8416666666666667,0.8261758691206544,0.897855648535565,0.8250000000000001,0.041666666666666664
neural_network_mlp,5953,479,2010,2023,2024,0.8288100208768268,0.8062015503875969,0.8666666666666667,0.8353413654618473,0.890986750348675,0.8375,0.125
logistic_regression,6432,479,2010,2024,2025,0.7432150313152401,0.8502994011976048,0.5916666666666667,0.6977886977886978,0.8114016736401675,0.7458333333333332,0.041666666666666664
random_forest,6432,479,2010,2024,2025,0.778705636743215,0.76171875,0.8125,0.7862903225806451,0.8435495118549512,0.775,0.0
extra_trees,6432,479,2010,2024,2025,0.7515657620041754,0.7354085603112841,0.7875,0.7605633802816901,0.8330718270571825,0.75,0.041666666666666664
hist_gradient_boosting,6432,479,2010,2024,2025,0.7849686847599165,0.7890295358649789,0.7791666666666667,0.7840670859538784,0.8306834030683403,0.7791666666666667,0.041666666666666664
neural_network_mlp,6432,479,2010,2024,2025,0.7661795407098121,0.756,0.7875,0.7714285714285715,0.828678521617852,0.7708333333333334,0.041666666666666664
logistic_regression,6911,88,2010,2025,2026,0.7272727272727273,0.7,0.7,0.7,0.7885416666666666,0.7,0.0
random_forest,6911,88,2010,2025,2026,0.75,0.7368421052631579,0.7,0.717948717948718,0.8223958333333333,0.7249999999999999,0.0
extra_trees,6911,88,2010,2025,2026,0.75,0.7368421052631579,0.7,0.717948717948718,0.8005208333333332,0.7249999999999999,0.0
hist_gradient_boosting,6911,88,2010,2025,2026,0.7727272727272727,0.7631578947368421,0.725,0.7435897435897436,0.8265625000000001,0.7249999999999999,0.0
neural_network_mlp,6911,88,2010,2025,2026,0.75,0.75,0.675,0.7105263157894737,0.8302083333333333,0.75,0.0
