race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2018_10,brendon_hartley,3,,,13.834000000000003,16.0,53.0
2018_11,hamilton,3,84.33166666666666,67.241,12.158168429313502,3.6666666666666665,55.666666666666664
2018_11,bottas,3,84.882,69.044,11.259350454918199,6.666666666666667,39.333333333333336
2018_11,raikkonen,3,84.05,66.957,12.175751557912147,2.0,58.666666666666664
2018_11,max_verstappen,3,84.57466666666667,67.44200000000001,12.149956277927734,4.0,56.666666666666664
2018_11,hulkenberg,3,86.55266666666667,70.38,11.480102099816978,12.666666666666666,38.666666666666664
2018_11,grosjean,3,86.38566666666667,69.071,12.25488651744909,14.0,53.0
2018_11,perez,3,86.765,68.504,13.063216627870284,11.333333333333334,49.666666666666664
2018_11,ocon,3,,,12.378,12.0,61.0
2018_11,ericsson,3,86.12833333333333,68.216,12.718109249762282,11.0,51.0
2018_11,brendon_hartley,3,,69.17099999999999,13.834000000000003,16.0,35.666666666666664
2018_11,kevin_magnussen,3,85.835,68.476,12.297158777538819,9.0,58.333333333333336
2018_11,sainz,3,86.33533333333332,68.766,12.430592083869358,12.0,53.333333333333336
2018_11,vandoorne,3,86.37333333333333,68.894,12.425381666393813,12.333333333333334,56.333333333333336
2018_11,gasly,3,,,12.085,13.5,61.0
2018_11,leclerc,3,86.73066666666666,69.006,12.53715311473152,15.0,47.0
2018_11,alonso,3,85.75866666666667,68.661,12.108649920155793,8.333333333333334,57.333333333333336
2018_11,stroll,3,87.13033333333333,69.203,12.806055477346991,17.0,56.333333333333336
2018_11,vettel,3,84.08766666666666,67.082,12.123906255365426,2.3333333333333335,58.666666666666664
2018_11,sirotkin,3,87.29700000000001,68.971,13.045236857438297,15.666666666666666,57.666666666666664
2018_11,ricciardo,3,84.854,67.591,12.304608594614733,5.666666666666667,52.666666666666664
2018_12,hamilton,3,78.01033333333334,67.241,9.953438445526698,2.3333333333333335,60.333333333333336
2018_12,vettel,3,78.356,67.082,9.669798894840921,3.0,58.0
2018_12,raikkonen,3,77.914,66.957,9.826457245620116,2.3333333333333335,63.333333333333336
