race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2018_07,bottas,5,4,0.8,64.0,12.8,4,5.0,3.2,2,14,61.0,1
2018_07,max_verstappen,5,3,0.6,27.0,5.4,3,10.4,10.0,3,19,48.4,2
2018_07,ricciardo,5,3,0.6,60.0,12.0,3,8.8,4.2,1,20,48.0,2
2018_07,hamilton,5,5,1.0,92.0,18.4,5,2.4,3.8,1,4,61.6,0
2018_07,raikkonen,5,3,0.6,45.0,9.0,3,8.8,3.6,2,18,49.0,2
2018_07,hulkenberg,5,3,0.6,20.0,4.0,3,11.6,11.0,6,20,40.2,2
2018_07,sainz,5,4,0.8,19.0,3.8,4,8.4,9.0,5,11,61.2,0
2018_07,ocon,5,2,0.4,9.0,1.8,2,12.4,9.2,6,19,45.6,2
2018_07,leclerc,5,2,0.4,9.0,1.8,2,13.0,15.8,6,19,59.4,1
2018_07,gasly,5,2,0.4,18.0,3.6,2,12.0,12.2,4,19,48.4,1
2018_07,grosjean,5,0,0.0,0.0,0.0,0,15.6,14.8,13,18,46.2,2
2018_07,kevin_magnussen,5,3,0.6,19.0,3.8,3,9.4,11.6,5,13,61.4,0
2018_07,perez,5,2,0.4,17.0,3.4,2,10.4,10.4,3,16,61.0,0
2018_07,ericsson,5,1,0.2,2.0,0.4,1,12.0,17.6,9,16,61.0,0
2018_07,vandoorne,5,2,0.4,6.0,1.2,2,11.8,13.4,8,15,57.0,1
2018_07,sirotkin,5,0,0.0,0.0,0.0,0,16.0,15.4,14,20,50.4,1
2018_07,alonso,5,4,0.8,22.0,4.4,4,9.8,10.6,7,20,56.0,1
2018_07,brendon_hartley,5,1,0.2,1.0,0.2,1,15.6,16.0,10,20,58.4,2
2018_07,stroll,5,1,0.2,4.0,0.8,1,12.8,16.6,8,17,60.6,0
2018_08,hamilton,5,5,1.0,87.0,17.4,5,2.8,2.8,1,5,63.8,0
2018_08,max_verstappen,5,4,0.8,42.0,8.4,4,7.2,7.6,3,16,61.4,1
2018_08,raikkonen,5,4,0.8,53.0,10.6,4,6.4,4.2,2,17,55.6,1
2018_08,ricciardo,5,4,0.8,72.0,14.4,4,5.6,4.6,1,17,61.4,1
2018_08,vettel,5,5,1.0,71.0,14.2,5,3.8,1.6,1,8,63.8,0
2018_08,kevin_magnussen,5,2,0.4,9.0,1.8,2,11.0,12.6,6,13,63.4,0
2018_08,bottas,5,4,0.8,64.0,12.8,4,5.0,3.0,2,14,63.2,1
2018_08,sainz,5,5,1.0,23.0,4.6,5,7.8,8.8,5,10,63.4,0
2018_08,hulkenberg,5,3,0.6,18.0,3.6,3,11.8,11.0,6,20,42.2,2
2018_08,leclerc,5,3,0.6,10.0,2.0,3,12.6,14.6,6,19,61.6,1
2018_08,grosjean,5,0,0.0,0.0,0.0,0,15.4,15.6,12,18,48.4,2
2018_08,vandoorne,5,1,0.2,2.0,0.4,1,13.4,13.6,9,16,59.0,1
2018_08,ericsson,5,0,0.0,0.0,0.0,0,13.2,18.0,11,16,63.0,0
2018_08,brendon_hartley,5,1,0.2,1.0,0.2,1,16.0,16.2,10,20,47.2,3
2018_08,sirotkin,5,0,0.0,0.0,0.0,0,16.4,15.4,14,20,52.4,1
2018_08,alonso,5,3,0.6,16.0,3.2,3,12.0,10.8,7,20,52.8,2
2018_08,stroll,5,1,0.2,4.0,0.8,1,14.0,16.0,8,20,49.4,1
2018_08,perez,5,2,0.4,17.0,3.4,2,10.0,10.0,3,14,63.2,0
2018_08,ocon,5,2,0.4,10.0,2.0,2,12.2,9.2,6,19,47.8,2
2018_08,gasly,5,1,0.2,6.0,1.2,1,13.4,14.4,7,19,50.4,1
2018_09,max_verstappen,5,4,0.8,50.0,10.0,4,6.6,7.4,2,16,60.8,1
2018_09,raikkonen,5,4,0.8,53.0,10.6,4,6.4,5.0,2,17,55.0,1
2018_09,vettel,5,5,1.0,77.0,15.4,5,3.2,2.0,1,5,63.2,0
2018_09,grosjean,5,0,0.0,0.0,0.0,0,14.2,15.6,11,18,47.6,2
2018_09,kevin_magnussen,5,2,0.4,16.0,3.2,2,10.2,12.2,6,13,62.8,0
2018_09,ocon,5,2,0.4,10.0,2.0,2,13.8,9.0,6,19,36.6,3
2018_09,perez,5,2,0.4,17.0,3.4,2,11.2,11.0,3,18,57.4,1
2018_09,alonso,5,2,0.4,10.0,2.0,2,13.8,11.4,7,20,51.6,3
2018_09,leclerc,5,4,0.8,11.0,2.2,4,10.8,12.4,6,18,61.0,1
2018_09,ericsson,5,0,0.0,0.0,0.0,0,12.6,17.0,11,15,62.2,0
2018_09,gasly,5,1,0.2,6.0,1.2,1,13.8,13.8,7,20,39.2,2
2018_09,sainz,5,5,1.0,25.0,5.0,5,7.6,8.4,5,10,62.8,0
2018_09,sirotkin,5,0,0.0,0.0,0.0,0,16.4,15.8,14,20,51.6,1
2018_09,stroll,5,1,0.2,4.0,0.8,1,14.6,16.2,8,20,47.8,2
2018_09,vandoorne,5,1,0.2,2.0,0.4,1,13.2,14.2,9,16,58.2,1
2018_09,hamilton,5,5,1.0,100.0,20.0,5,2.2,2.2,1,5,63.2,0
2018_09,brendon_hartley,5,1,0.2,1.0,0.2,1,14.8,17.2,10,19,47.4,2
2018_09,ricciardo,5,4,0.8,59.0,11.8,4,6.2,4.4,1,17,60.8,1
2018_09,bottas,5,4,0.8,52.0,10.4,4,6.0,2.8,2,14,62.6,1
2018_09,hulkenberg,5,3,0.6,12.0,2.4,3,12.4,12.0,7,20,41.6,2
2018_10,vettel,5,5,1.0,80.0,16.0,5,3.0,3.0,1,5,67.2,0
2018_10,hamilton,5,4,0.8,75.0,15.0,4,5.2,2.2,1,16,65.4,1
2018_10,raikkonen,5,4,0.8,53.0,10.6,4,6.4,4.4,2,17,59.0,1
2018_10,bottas,5,4,0.8,52.0,10.4,4,7.0,2.4,2,19,55.6,1
2018_10,ricciardo,5,4,0.8,59.0,11.8,4,6.4,5.0,1,18,63.6,1
2018_10,hulkenberg,5,3,0.6,12.0,2.4,3,12.8,11.2,7,20,41.8,2
2018_10,ocon,5,3,0.6,18.0,3.6,3,11.2,9.8,6,19,50.6,2
2018_10,alonso,5,2,0.4,8.0,1.6,2,14.0,11.6,8,20,55.4,3
2018_10,kevin_magnussen,5,3,0.6,26.0,5.2,3,8.6,10.8,5,13,66.6,0
2018_10,perez,5,2,0.4,8.0,1.6,2,12.0,12.6,7,18,61.2,1
2018_10,vandoorne,5,0,0.0,0.0,0.0,0,14.4,14.0,12,16,61.0,2
2018_10,stroll,5,0,0.0,0.0,0.0,0,15.8,17.0,11,20,51.4,2
2018_10,gasly,5,1,0.2,6.0,1.2,1,13.6,12.8,7,20,43.0,2
2018_10,sirotkin,5,0,0.0,0.0,0.0,0,15.0,17.0,13,17,65.4,0
2018_10,max_verstappen,5,5,1.0,75.0,15.0,5,3.6,7.2,1,9,67.2,0
2018_10,grosjean,5,1,0.2,12.0,2.4,1,12.0,12.6,4,18,53.2,1
2018_10,sainz,5,4,0.8,15.0,3.0,4,9.0,8.4,7,12,66.6,0
2018_10,ericsson,5,1,0.2,1.0,0.2,1,12.4,17.4,10,15,66.0,0
2018_10,leclerc,5,4,0.8,5.0,1.0,4,11.4,13.4,9,18,64.8,1
2018_10,brendon_hartley,5,0,0.0,0.0,0.0,0,16.2,17.2,12,19,48.0,3
2018_11,hamilton,5,4,0.8,68.0,13.6,4,5.4,2.2,1,16,62.6,1
2018_11,bottas,5,4,0.8,46.0,9.2,4,7.4,2.8,2,19,52.8,1
2018_11,raikkonen,5,5,1.0,68.0,13.6,5,3.6,4.2,2,6,64.4,0
2018_11,max_verstappen,5,4,0.8,60.0,12.0,4,6.0,7.2,1,15,63.2,1
2018_11,hulkenberg,5,4,0.8,20.0,4.0,4,10.0,10.2,6,20,52.2,1
2018_11,grosjean,5,1,0.2,12.0,2.4,1,11.6,12.2,4,16,60.6,1
2018_11,perez,5,2,0.4,7.0,1.4,2,12.2,12.0,7,18,58.8,1
2018_11,ocon,5,4,0.8,24.0,4.8,4,9.4,9.2,6,19,53.4,1
2018_11,ericsson,5,1,0.2,1.0,0.2,1,13.4,17.0,10,18,59.4,1
2018_11,brendon_hartley,5,0,0.0,0.0,0.0,0,17.8,13.2,14,20,35.4,4
2018_11,kevin_magnussen,5,3,0.6,20.0,4.0,3,9.2,10.8,5,13,64.0,0
2018_11,sainz,5,3,0.6,9.0,1.8,3,11.0,9.8,8,17,61.0,1
2018_11,vandoorne,5,0,0.0,0.0,0.0,0,13.6,15.2,11,16,62.4,1
2018_11,gasly,5,1,0.2,6.0,1.2,1,12.4,13.2,7,20,53.4,1
2018_11,leclerc,5,3,0.6,4.0,0.8,3,13.2,12.4,9,19,55.6,2
2018_11,alonso,5,2,0.4,8.0,1.6,2,14.0,12.6,8,20,52.8,3
2018_11,stroll,5,0,0.0,0.0,0.0,0,16.0,17.2,12,20,49.0,2
2018_11,vettel,5,5,1.0,93.0,18.6,5,2.4,2.8,1,5,64.4,0
2018_11,sirotkin,5,0,0.0,0.0,0.0,0,15.0,16.8,13,17,63.2,0
2018_11,ricciardo,5,4,0.8,59.0,11.8,4,6.4,5.0,1,18,60.8,1
2018_12,hamilton,5,4,0.8,78.0,15.6,4,5.0,4.4,1,16,60.4,1
2018_12,vettel,5,4,0.8,75.0,15.0,4,5.6,2.6,1,18,59.0,1
2018_12,raikkonen,5,5,1.0,71.0,14.2,5,3.4,4.0,2,6,62.2,0
2018_12,ricciardo,5,3,0.6,34.0,6.8,3,10.2,8.8,4,20,50.6,2
2018_12,bottas,5,4,0.8,54.0,10.8,4,6.8,2.2,2,19,50.6,1
2018_12,gasly,5,0,0.0,0.0,0.0,0,13.8,14.4,11,20,51.0,1
2018_12,kevin_magnussen,5,3,0.6,20.0,4.0,3,8.8,8.0,5,13,61.8,0
2018_12,alonso,5,2,0.4,8.0,1.6,2,13.2,13.4,8,18,55.4,3
2018_12,sainz,5,2,0.4,8.0,1.6,2,11.4,9.8,8,17,58.8,1
2018_12,grosjean,5,2,0.4,20.0,4.0,2,9.8,9.8,4,16,58.6,1
2018_12,brendon_hartley,5,1,0.2,1.0,0.2,1,16.0,13.6,10,20,34.8,3
2018_12,hulkenberg,5,4,0.8,26.0,5.2,4,9.4,9.4,5,20,50.0,1
2018_12,ocon,5,4,0.8,20.0,4.0,4,9.8,11.0,6,19,51.2,1
2018_12,perez,5,3,0.6,13.0,2.6,3,11.2,12.2,7,18,56.6,1
2018_12,ericsson,5,2,0.4,3.0,0.6,2,13.0,16.4,9,18,57.2,1
2018_12,sirotkin,5,0,0.0,0.0,0.0,0,15.6,16.6,13,19,58.0,1
2018_12,stroll,5,0,0.0,0.0,0.0,0,16.0,17.4,12,20,44.4,3
2018_12,vandoorne,5,0,0.0,0.0,0.0,0,13.4,16.6,11,16,60.4,1
2018_12,max_verstappen,5,4,0.8,70.0,14.0,4,5.0,4.0,1,15,61.0,1
2018_12,leclerc,5,3,0.6,4.0,0.8,3,12.6,11.4,9,19,54.8,1
2018_13,vettel,5,4,0.8,68.0,13.6,4,5.8,3.2,1,18,59.4,1
2018_13,hamilton,5,4,0.8,93.0,18.6,4,4.2,3.8,1,16,60.8,1
2018_13,max_verstappen,5,3,0.6,55.0,11.0,3,8.2,4.8,1,19,48.4,2
2018_13,bottas,5,4,0.8,46.0,9.2,4,7.4,2.2,2,19,51.0,1
2018_13,perez,5,3,0.6,13.0,2.6,3,11.2,14.0,7,18,57.0,1
2018_13,ocon,5,3,0.6,18.0,3.6,3,10.6,13.0,6,19,51.6,1
2018_13,grosjean,5,3,0.6,21.0,4.2,3,9.4,7.8,4,16,59.0,1
2018_13,kevin_magnussen,5,4,0.8,26.0,5.2,4,7.6,7.6,5,11,62.2,0
2018_13,gasly,5,1,0.2,8.0,1.6,1,12.8,12.4,6,20,51.6,1
2018_13,ericsson,5,2,0.4,3.0,0.6,2,13.0,15.4,9,18,57.6,1
2018_13,sainz,5,2,0.4,6.0,1.2,2,11.6,9.0,8,17,59.2,1
2018_13,sirotkin,5,0,0.0,0.0,0.0,0,15.4,17.0,13,19,58.4,1
2018_13,stroll,5,0,0.0,0.0,0.0,0,15.4,17.0,12,17,58.0,2
2018_13,brendon_hartley,5,1,0.2,1.0,0.2,1,14.4,12.8,10,20,48.6,2
2018_13,vandoorne,5,0,0.0,0.0,0.0,0,13.8,16.8,11,18,57.0,2
2018_13,ricciardo,5,3,0.6,34.0,6.8,3,10.2,10.0,4,20,51.0,2
2018_13,raikkonen,5,5,1.0,78.0,15.6,5,2.8,3.6,2,3,62.6,0
2018_13,leclerc,5,2,0.4,3.0,0.6,2,14.6,12.2,9,20,41.4,2
2018_13,alonso,5,3,0.6,12.0,2.4,3,11.2,12.8,8,16,61.2,2
2018_13,hulkenberg,5,3,0.6,20.0,4.0,3,10.4,10.6,5,20,50.4,1
2018_14,hamilton,5,4,0.8,86.0,17.2,4,4.4,3.8,1,16,59.0,1
2018_14,raikkonen,5,4,0.8,63.0,12.6,4,5.6,3.6,2,17,53.6,1
2018_14,bottas,5,4,0.8,52.0,10.4,4,6.8,5.6,2,19,49.2,1
2018_14,vettel,5,4,0.8,83.0,16.6,4,5.0,3.0,1,18,57.6,1
2018_14,max_verstappen,5,3,0.6,52.0,10.4,3,8.4,5.4,1,19,46.6,2
2018_14,ocon,5,4,0.8,26.0,5.2,4,8.0,11.4,6,13,60.4,0
2018_14,perez,5,4,0.8,23.0,4.6,4,8.6,12.2,5,14,60.4,0
2018_14,sainz,5,1,0.2,2.0,0.4,1,12.2,10.4,9,17,57.2,1
2018_14,stroll,5,0,0.0,0.0,0.0,0,14.6,16.6,12,17,57.0,1
2018_14,sirotkin,5,0,0.0,0.0,0.0,0,14.8,16.6,12,19,56.6,1
2018_14,leclerc,5,1,0.2,2.0,0.4,1,16.2,13.0,9,20,30.8,3
2018_14,vandoorne,5,0,0.0,0.0,0.0,0,14.4,17.0,11,18,55.2,2
2018_14,hulkenberg,5,2,0.4,18.0,3.6,2,12.6,12.2,5,20,39.8,2
2018_14,gasly,5,2,0.4,10.0,2.0,2,10.6,11.6,6,14,60.4,0
2018_14,ericsson,5,3,0.6,4.0,0.8,3,12.4,15.0,9,18,55.8,1
2018_14,kevin_magnussen,5,4,0.8,22.0,4.4,4,8.0,7.6,5,11,60.4,0
2018_14,ricciardo,5,2,0.4,22.0,4.4,2,12.6,10.6,4,20,46.0,3
2018_14,alonso,5,3,0.6,12.0,2.4,3,11.8,12.6,8,19,51.2,2
2018_14,brendon_hartley,5,1,0.2,1.0,0.2,1,14.4,11.0,10,20,46.8,2
2018_14,grosjean,5,4,0.8,27.0,5.4,4,8.6,6.8,4,16,57.4,1
2018_15,hamilton,5,5,1.0,111.0,22.2,5,1.4,4.0,1,2,57.2,0
2018_15,max_verstappen,5,3,0.6,37.0,7.4,3,9.2,5.6,3,19,43.0,2
2018_15,vettel,5,4,0.8,80.0,16.0,4,5.2,2.2,1,18,54.0,1
2018_15,bottas,5,5,1.0,67.0,13.4,5,3.6,6.2,2,5,57.2,0
2018_15,raikkonen,5,4,0.8,63.0,12.6,4,5.6,3.2,2,17,50.0,1
