race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2019_06,hamilton,1,112.0,3,142.0
2019_06,vettel,4,64.0,0,64.0
2019_06,bottas,2,105.0,2,125.0
2019_06,max_verstappen,3,66.0,0,66.0
2019_06,gasly,6,21.0,0,21.0
2019_06,sainz,11,10.0,0,10.0
2019_06,kvyat,16,3.0,0,3.0
2019_06,albon,15,3.0,0,3.0
2019_06,ricciardo,13,6.0,0,6.0
2019_06,grosjean,17,1.0,0,1.0
2019_06,norris,10,12.0,0,12.0
2019_06,perez,8,13.0,0,13.0
2019_06,hulkenberg,12,6.0,0,6.0
2019_06,kevin_magnussen,7,14.0,0,14.0
2019_06,russell,20,0.0,0,0.0
2019_06,stroll,14,4.0,0,4.0
2019_06,raikkonen,9,13.0,0,13.0
2019_06,kubica,19,0.0,0,0.0
2019_06,giovinazzi,18,0.0,0,0.0
2019_06,leclerc,5,57.0,0,57.0
2019_07,hamilton,1,137.0,4,177.0
2019_07,vettel,3,82.0,0,82.0
2019_07,leclerc,5,57.0,0,57.0
2019_07,bottas,2,120.0,2,140.0
2019_07,max_verstappen,4,78.0,0,78.0
2019_07,ricciardo,13,8.0,0,8.0
2019_07,hulkenberg,15,6.0,0,6.0
2019_07,gasly,6,32.0,0,32.0
2019_07,stroll,16,4.0,0,4.0
2019_07,kvyat,12,9.0,0,9.0
2019_07,sainz,7,18.0,0,18.0
2019_07,perez,9,13.0,0,13.0
2019_07,giovinazzi,18,0.0,0,0.0
2019_07,grosjean,17,2.0,0,2.0
2019_07,raikkonen,10,13.0,0,13.0
2019_07,russell,20,0.0,0,0.0
2019_07,kevin_magnussen,8,14.0,0,14.0
2019_07,kubica,19,0.0,0,0.0
2019_07,albon,14,7.0,0,7.0
2019_07,norris,11,12.0,0,12.0
2019_08,hamilton,1,162.0,5,212.0
2019_08,bottas,2,133.0,2,153.0
2019_08,leclerc,5,72.0,0,72.0
2019_08,max_verstappen,4,88.0,0,88.0
2019_08,vettel,3,100.0,0,100.0
2019_08,sainz,7,18.0,0,18.0
2019_08,raikkonen,11,13.0,0,13.0
2019_08,hulkenberg,12,12.0,0,12.0
2019_08,norris,13,12.0,0,12.0
2019_08,gasly,6,36.0,0,36.0
2019_08,ricciardo,8,16.0,0,16.0
2019_08,perez,10,13.0,0,13.0
2019_08,stroll,16,6.0,0,6.0
2019_08,kvyat,14,10.0,0,10.0
2019_08,albon,15,7.0,0,7.0
2019_08,giovinazzi,18,0.0,0,0.0
2019_08,kevin_magnussen,9,14.0,0,14.0
