race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2019_11,racing_point,7,19.0,0,19.0
2019_11,mclaren,4,60.0,0,60.0
2019_11,haas,9,16.0,0,16.0
2019_11,mercedes,1,407.0,9,497.0
2019_11,williams,10,0.0,0,0.0
2019_11,alfa,6,26.0,0,26.0
2019_11,renault,5,39.0,0,39.0
2019_12,mercedes,1,409.0,9,499.0
2019_12,red_bull,3,217.0,2,237.0
2019_12,ferrari,2,261.0,0,261.0
2019_12,mclaren,4,70.0,0,70.0
2019_12,alfa,8,26.0,0,26.0
2019_12,toro_rosso,5,42.0,0,42.0
2019_12,racing_point,7,31.0,0,31.0
2019_12,renault,6,39.0,0,39.0
2019_12,haas,9,26.0,0,26.0
2019_12,williams,10,1.0,0,1.0
2019_13,ferrari,2,288.0,0,288.0
2019_13,mercedes,1,438.0,10,538.0
2019_13,red_bull,3,244.0,2,264.0
2019_13,racing_point,8,31.0,0,31.0
2019_13,toro_rosso,5,43.0,0,43.0
2019_13,renault,6,39.0,0,39.0
2019_13,mclaren,4,82.0,0,82.0
2019_13,haas,9,26.0,0,26.0
2019_13,williams,10,1.0,0,1.0
2019_13,alfa,7,32.0,0,32.0
2019_14,ferrari,2,326.0,1,336.0
2019_14,mercedes,1,471.0,10,571.0
2019_14,renault,6,43.0,0,43.0
2019_14,red_bull,3,254.0,2,274.0
2019_14,racing_point,7,40.0,0,40.0
2019_14,alfa,8,32.0,0,32.0
2019_14,mclaren,4,82.0,0,82.0
2019_14,toro_rosso,5,51.0,0,51.0
2019_14,williams,10,1.0,0,1.0
2019_14,haas,9,26.0,0,26.0
2019_15,ferrari,2,351.0,2,371.0
2019_15,red_bull,3,266.0,2,286.0
2019_15,mercedes,1,505.0,10,605.0
2019_15,mclaren,4,83.0,0,83.0
2019_15,toro_rosso,6,51.0,0,51.0
2019_15,renault,5,65.0,0,65.0
2019_15,alfa,8,34.0,0,34.0
2019_15,haas,9,26.0,0,26.0
2019_15,racing_point,7,46.0,0,46.0
